TeamName,CountryCode,LeagueId,ManagerId,StadiumId,LeagueRank,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance
Alavés ,ES,5,1,1,11,22,7,5,10,22,27,-5,26,1.18,28.7,25.9,2.8,0.13,17186
Almería ,ES,5,2,2,20,22,0,6,16,21,49,-28,6,0.27,28.8,38.1,-9.4,-0.43,13854
Arsenal ,EN,1,3,3,3,22,14,4,4,44,21,23,46,2.09,40.8,17.1,23.7,1.08,60180
Aston Villa ,EN,1,4,4,5,22,13,4,5,44,30,14,43,1.95,38.6,29.3,9.3,0.42,41558
Atalanta ,IT,2,5,5,4,21,11,3,7,37,21,16,36,1.71,29.1,21.1,8.1,0.38,13391
Athletic Club ,ES,5,6,6,5,23,13,6,4,42,21,21,45,1.96,38.5,21.5,17,0.74,45449
Atlético Madrid ,ES,5,7,7,3,22,15,2,5,44,24,20,47,2.14,37.6,23.9,13.8,0.63,56809
Augsburg ,DE,4,8,8,13,19,5,6,8,28,36,-8,21,1.11,26.6,32.1,-5.5,-0.29,28834
Barcelona ,ES,5,9,9,4,22,14,5,3,44,29,15,47,2.14,50.2,24.4,25.7,1.17,40962
Bayern Munich ,DE,4,10,10,2,19,15,2,2,56,18,38,47,2.47,52.2,15,37.2,1.96,75000
Betis ,ES,5,11,11,7,22,8,10,4,25,24,1,34,1.55,26.3,29.8,-3.4,-0.16,51314
Bochum ,DE,4,12,12,14,19,4,8,7,21,37,-16,20,1.05,24.2,34,-9.8,-0.51,25739
Bologna ,IT,2,13,13,8,21,8,9,4,25,20,5,33,1.57,24.7,20.8,3.9,0.19,25370
Bournemouth ,EN,1,14,14,12,21,7,5,9,29,40,-11,26,1.24,29.6,34.3,-4.7,-0.22,11047
Brentford ,EN,1,15,15,15,21,6,4,11,31,36,-5,22,1.05,35.4,29.4,6,0.29,17059
Brest ,FR,3,16,16,3,19,10,5,4,29,17,12,35,1.84,27.9,22.3,5.6,0.3,14403
Brighton ,EN,1,17,17,9,22,8,8,6,38,37,1,32,1.45,36.8,33.9,2.9,0.13,32504
Burnley ,EN,1,18,18,19,22,3,3,16,22,45,-23,12,0.55,20,37.2,-17.2,-0.78,21430
Cádiz ,ES,5,19,19,18,22,2,10,10,15,31,-16,16,0.73,17.9,32.1,-14.2,-0.64,18562
Cagliari ,IT,2,20,20,18,22,4,6,12,21,38,-17,18,0.82,24.9,31.9,-6.9,-0.32,14610
Celta Vigo ,ES,5,21,21,17,22,3,8,11,21,32,-11,17,0.77,28.4,31.1,-2.7,-0.12,19512
Chelsea ,EN,1,22,22,10,22,9,4,9,36,35,1,31,1.41,42.2,32.6,9.6,0.44,39713
Clermont Foot ,FR,3,23,23,17,19,3,6,10,14,28,-14,15,0.79,19.5,31.8,-12.3,-0.65,9786
Crystal Palace ,EN,1,24,24,14,22,6,6,10,25,36,-11,24,1.09,26.1,32.6,-6.5,-0.3,24891
Darmstadt ,DE,4,25,25,18,19,2,5,12,22,47,-25,11,0.58,19.6,39.7,-20.1,-1.06,17713
Dortmund ,DE,4,26,26,4,20,10,7,3,40,26,14,37,1.85,39.7,31.8,7.9,0.4,81264
Eint Frankfurt ,DE,4,27,27,6,19,8,7,4,30,22,8,31,1.63,24.9,29.3,-4.4,-0.23,56456
Empoli ,IT,2,28,28,19,22,4,5,13,15,36,-21,17,0.77,20.5,30.6,-10.1,-0.46,9376
Everton ,EN,1,29,29,18,22,8,4,10,24,28,-4,18,0.82,33.1,30.5,2.6,0.12,39104
Fiorentina ,IT,2,30,30,6,22,10,4,8,31,25,6,34,1.55,26.6,27.9,-1.3,-0.06,28576
Freiburg ,DE,4,31,31,7,19,8,4,7,25,31,-6,28,1.47,29.9,28.5,1.3,0.07,34170
Frosinone ,IT,2,32,32,14,22,6,5,11,29,41,-12,23,1.05,25.9,34,-8.2,-0.37,14781
Fulham ,EN,1,33,33,13,22,7,4,11,28,36,-8,25,1.14,26.9,38.4,-11.6,-0.53,24255
Genoa ,IT,2,34,34,11,22,7,7,8,24,26,-2,28,1.27,19.1,22,-2.9,-0.13,29546
Getafe ,ES,5,35,35,10,22,7,8,7,28,30,-2,29,1.32,25.2,31.3,-6.1,-0.28,11686
Girona ,ES,5,36,36,2,22,17,4,1,52,25,27,55,2.5,39.6,30.4,9.2,0.42,12712
Granada ,ES,5,37,37,19,22,2,5,15,22,44,-22,11,0.5,25.7,37.4,-11.7,-0.53,17353
Heidenheim ,DE,4,38,38,9,20,6,6,8,28,35,-7,24,1.2,24.3,41.2,-16.8,-0.84,15000
Hellas Verona ,IT,2,39,39,16,22,4,6,12,20,30,-10,18,0.82,20.9,27.8,-6.8,-0.31,18606
Hoffenheim ,DE,4,40,40,8,19,7,4,8,35,37,-2,25,1.32,32.6,34.6,-2,-0.1,23345
Inter ,IT,2,41,41,1,21,17,3,1,50,10,40,54,2.57,44.7,17.6,27.1,1.29,72843
Juventus ,IT,2,42,42,2,22,16,5,1,36,13,23,53,2.41,33.7,14.8,18.9,0.86,32441
Köln ,DE,4,43,43,16,19,2,6,11,12,34,-22,12,0.63,20.5,40.1,-19.6,-1.03,49789
Las Palmas ,ES,5,44,44,9,22,9,4,9,22,19,3,31,1.41,18.1,32.4,-14.3,-0.65,26073
Lazio ,IT,2,45,45,7,21,10,4,7,24,20,4,34,1.62,25.4,20.9,4.5,0.22,38736
Le Havre ,FR,3,46,46,11,19,5,8,6,22,23,-1,23,1.21,21.1,27.3,-6.2,-0.33,39570
Lecce ,IT,2,47,47,13,23,5,9,9,24,33,-9,24,1.04,24.6,34.2,-9.6,-0.42,21972
Lens ,FR,3,48,48,8,19,8,5,6,23,19,4,29,1.53,27.2,25.9,1.2,0.07,37865
Leverkusen ,DE,4,49,49,1,19,15,4,0,50,14,36,49,2.58,40.6,17.8,22.8,1.2,29932
Lille ,FR,3,50,50,5,19,8,8,3,24,14,10,32,1.68,26.1,18.1,8.1,0.42,37039
Liverpool ,EN,1,51,51,1,22,15,6,1,51,19,32,51,2.32,48.6,24.6,24,1.09,47835
Lorient ,FR,3,52,52,18,19,2,7,10,24,41,-17,13,0.68,16.5,30.1,-13.5,-0.71,15240
Luton Town ,EN,1,53,53,17,21,5,4,12,28,38,-10,19,0.9,23.3,40.6,-17.3,-0.82,10921
Lyon ,FR,3,54,54,16,19,4,4,11,19,33,-14,16,0.84,23.8,30.5,-6.7,-0.35,41513
Mainz 05 ,DE,4,55,55,17,18,1,8,9,14,30,-16,11,0.61,19,21.6,-2.6,-0.14,30252
Mallorca ,ES,5,56,56,15,23,3,11,9,19,30,-11,20,0.87,24.7,28.8,-4.1,-0.18,17096
Manchester City ,EN,1,57,57,2,21,14,4,3,51,24,27,46,2.19,41.5,20.6,20.9,1,47967
Manchester Utd ,EN,1,58,58,7,22,11,2,9,28,32,-4,35,1.59,33.2,35.8,-2.7,-0.12,73511
Marseille ,FR,3,59,59,7,19,7,8,4,28,21,7,29,1.53,31.7,16.3,15.4,0.81,60690
Metz ,FR,3,60,60,15,19,4,4,11,16,29,-13,16,0.84,14.6,28.8,-14.2,-0.75,23093
M'Gladbach ,DE,4,61,61,12,19,5,6,8,35,38,-3,21,1.11,27.2,33.3,-6.2,-0.33,50488
Milan ,IT,2,62,62,3,22,14,4,4,43,25,18,46,2.09,35.9,27.3,8.6,0.39,65336
Monaco ,FR,3,63,63,4,19,10,4,5,36,27,9,34,1.79,26.7,23.2,3.5,0.18,7805
Montpellier ,FR,3,64,64,12,19,4,8,7,19,23,-4,19,1,24.4,24.2,0.2,0.01,13004
Monza ,IT,2,65,65,12,22,7,7,8,21,28,-7,28,1.27,23.2,33.1,-10,-0.45,10724
Nantes ,FR,3,66,66,13,19,5,4,10,20,30,-10,19,1,23.3,31.1,-7.8,-0.41,29164
Napoli ,IT,2,67,67,9,21,9,5,7,30,25,5,32,1.52,34.7,21.8,12.9,0.61,45165
Newcastle Utd ,EN,1,68,68,8,22,10,2,10,44,33,11,32,1.45,43.1,37.9,5.2,0.24,52096
Nice ,FR,3,69,69,2,19,11,5,3,20,11,9,38,2,27.1,17.3,9.8,0.52,25493
Nottingham Forest ,EN,1,70,70,16,22,5,5,12,27,40,-13,20,0.91,25.5,33,-7.6,-0.34,29298
Osasuna ,ES,5,71,71,12,22,7,5,10,26,33,-7,26,1.18,25.1,29.3,-4.3,-0.19,20104
Paris S-G ,FR,3,72,72,1,20,14,5,1,48,17,31,47,2.35,41.8,23,18.9,0.94,46970
Rayo Vallecano ,ES,5,73,73,13,22,5,9,8,19,28,-9,24,1.09,25.4,28.7,-3.3,-0.15,12762
RB Leipzig ,DE,4,74,74,5,19,10,3,6,42,26,16,33,1.74,37.5,23.8,13.7,0.72,44999
Real Madrid ,ES,5,75,75,1,22,18,3,1,47,14,33,57,2.59,39.4,21,18.4,0.84,70104
Real Sociedad ,ES,5,76,76,6,22,9,9,4,32,21,11,36,1.64,27,24.4,2.6,0.12,32661
Reims ,FR,3,77,77,6,19,9,3,7,25,24,1,30,1.58,24.3,21.9,2.4,0.13,15508
Rennes ,FR,3,78,78,9,19,6,7,6,28,24,4,25,1.32,27.9,21.4,6.6,0.35,27541
Roma ,IT,2,79,79,5,22,10,5,7,36,26,10,35,1.59,29.9,20.8,9.1,0.41,56249
Salernitana ,IT,2,80,80,20,22,2,6,14,19,44,-25,12,0.55,17.7,40.2,-22.5,-1.02,17618
Sassuolo ,IT,2,81,81,15,21,5,4,12,26,37,-11,19,0.9,24.6,32.7,-8.1,-0.39,14305
Sevilla ,ES,5,82,82,16,22,3,8,11,27,36,-9,17,0.77,23.3,32.3,-9.1,-0.41,35182
Sheffield Utd ,EN,1,83,83,20,22,2,4,16,19,54,-35,10,0.45,19.5,43.3,-23.8,-1.08,30555
Strasbourg ,FR,3,84,84,10,20,6,7,7,21,26,-5,25,1.25,23.7,25.3,-1.6,-0.08,22793
Stuttgart ,DE,4,85,85,3,19,12,1,6,43,25,18,37,1.95,42.5,20.4,22.1,1.17,53620
Torino FC ,IT,2,86,86,10,21,8,7,6,20,19,1,31,1.48,21.6,21.3,0.2,0.01,21547
Tottenham ,EN,1,87,87,4,22,13,4,5,47,33,14,43,1.95,39.3,37.1,2.2,0.1,61586
Toulouse ,FR,3,88,88,14,19,3,8,8,16,25,-9,17,0.89,20.4,29.9,-9.4,-0.5,24960
Udinese ,IT,2,89,89,17,22,2,12,8,23,37,-14,18,0.82,24.2,31.1,-6.9,-0.32,20080
Union Berlin ,DE,4,90,90,15,18,5,2,11,18,32,-14,17,0.94,21.7,27.9,-6.2,-0.35,21763
Valencia ,ES,5,91,91,8,22,9,5,8,27,26,1,32,1.45,23.5,25.3,-1.8,-0.08,43984
Villarreal ,ES,5,92,92,14,22,6,5,11,33,45,-12,23,1.05,32,37.3,-5.3,-0.24,17683
Werder Bremen ,DE,4,93,93,10,19,6,5,8,28,32,-4,23,1.21,25,32.4,-7.4,-0.39,41600
West Ham Utd ,EN,1,94,94,6,22,10,6,6,36,33,3,36,1.64,31.3,38.9,-7.6,-0.35,56964
Wolfsburg ,DE,4,95,95,11,19,6,4,9,23,30,-7,22,1.16,22.8,27.4,-4.6,-0.24,25515
Wolves ,EN,1,96,96,11,22,8,5,9,33,35,-2,29,1.32,29.9,37.4,-7.5,-0.34,31413
